member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0817,Antonio,Romero,antonio.romero@example.com,2024-04-22,Off-peak mornings,lose weight,,3 6 3 3 5 3 3 3 2 0 0 0
Z0882,Carlos,Garrido,carlos.garrido@example.com,2025-03-10,Student,build muscle,,3 3 0 0 0 0 0 0 0 0 0 0
Z0694,David,Castro,david.castro@example.com,2024-03-06,Off-peak mornings,get fit for a wedding in November,"Lives outside Madrid, in the city every second week for work.",0 1 0 1 0 1 0 1 0 1 0 1
Z0366,Raquel,Méndez,raquel.mendez@example.com,2024-02-19,Annual,build muscle,,1 4 2 2 1 1 1 1 2 2 2 2
Z0820,Lucía,Blanco,lucia.blanco@example.com,2024-10-20,Monthly,build muscle,,3 3 5 3 2 4 3 3 3 0 0 0
Z0847,Claudia,Delgado,claudia.delgado@example.com,2025-02-16,Monthly,lose weight,,3 3 2 4 4 3 4 2 2 1 0 0
Z0754,Rosa,Fernández,rosa.fernandez@example.com,2026-08-17,Annual,lose weight,First gym membership.,0 0 0 0 0 0 0 0 0 0 4 2
Z0805,Marta,Prieto,marta.prieto@example.com,2024-06-13,Monthly,rehab after injury,,4 3 4 4 3 2 4 2 5 0 0 0
Z0771,Lucía,López,lucia.lopez@example.com,2024-08-31,Monthly,lose weight,Travelling for work most of August.,2 4 3 3 3 4 4 3 0 0 0 4
Z0285,Alba,Castro,alba.castro@example.com,2025-10-07,Monthly,build muscle,Asked about personal training in June.,4 2 3 4 3 3 4 4 4 3 4 3
