member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0652,Alba,Ortiz,alba.ortiz@example.com,2025-09-02,Annual,rehab after injury,"Comes every other week, that is her pattern.",0 1 0 1 0 1 0 1 0 1 0 1
Z0867,Álvaro,Cortés,alvaro.cortes@example.com,2025-10-11,Annual,general fitness,,2 0 3 0 0 0 0 0 0 0 0 0
Z0854,Leo,Garrido,leo.garrido@example.com,2024-11-24,Monthly,strength as I get older,,4 3 4 3 3 4 4 2 2 1 0 0
Z0383,Laura,Fuentes,laura.fuentes@example.com,2025-05-30,Annual,build muscle,,1 2 1 2 2 1 1 3 2 3 2 1
Z0767,Sergio,Moreno,sergio.moreno@example.com,2024-10-20,Off-peak mornings,strength as I get older,"Away in August, back in September.",3 3 4 3 3 3 1 2 0 0 0 2
Z0310,Marta,Díaz,marta.diaz@example.com,2024-05-10,Off-peak mornings,general fitness,,4 5 3 4 5 4 4 4 3 3 4 5
Z0842,Noa,Martínez,noa.martinez@example.com,2025-06-16,Off-peak mornings,general fitness,,5 2 4 3 2 4 3 4 0 0 0 0
Z0836,Miguel,Pérez,miguel.perez@example.com,2025-08-24,Monthly,get fit for the Madrid half marathon in October,,4 4 4 2 3 4 3 3 5 0 0 0
Z0807,Álvaro,Molina,alvaro.molina@example.com,2025-09-07,Off-peak mornings,strength as I get older,,3 2 3 2 3 2 4 3 1 0 0 0
Z0728,Sofía,Rodríguez,sofia.rodriguez@example.com,2026-08-10,Annual,build muscle,Moved to Chamberí in August.,0 0 0 0 0 0 0 0 0 1 2 1
