member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0819,Sara,Flores,sara.flores@example.com,2025-02-15,Student,strength as I get older,,4 4 3 3 4 4 4 4 3 0 0 0
Z0781,Rosa,Serrano,rosa.serrano@example.com,2026-04-07,Off-peak mornings,lose weight,"Holidays 3 weeks in August, froze nothing, said not to worry.",3 3 3 2 1 3 2 4 0 0 0 4
Z0880,David,Santos,david.santos@example.com,2024-04-21,Monthly,lose weight,,2 0 0 0 0 0 0 0 0 0 0 0
Z0809,Pablo,Carrasco,pablo.carrasco@example.com,2025-07-21,Monthly,lose weight,,5 3 1 3 3 2 3 3 2 0 0 0
Z0726,José,Santos,jose.santos@example.com,2026-08-14,Off-peak mornings,rehab after injury,Moved to Chamberí in August.,0 0 0 0 0 0 0 0 0 1 0 3
Z0863,Iván,Lozano,ivan.lozano@example.com,2024-06-23,Monthly,rehab after injury,,3 3 2 2 3 2 2 2 2 1 0 0
Z0109,Carmen,Ramírez,carmen.ramirez@example.com,2025-09-20,Monthly,stress and sleep,,2 5 4 3 2 4 3 3 3 3 4 4
Z0437,Noa,Herrera,noa.herrera@example.com,2024-07-10,Monthly,build muscle,Tuesday and Thursday evenings.,3 1 2 3 1 3 0 2 2 2 3 2
Z0843,Sofía,Garrido,sofia.garrido@example.com,2025-09-06,Monthly,get fit for the Madrid half marathon in October,,3 2 3 2 5 3 3 2 2 0 0 0
Z0689,Francisco,Méndez,francisco.mendez@example.com,2024-09-30,Monthly,stress and sleep,"Comes every other week, that is her pattern.",1 0 1 0 1 0 1 0 1 0 1 0
