member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0698,Adrián,Garrido,adrian.garrido@example.com,2026-08-11,Student,lose weight,Joined on the summer offer.,0 0 0 0 0 0 0 0 0 0 3 2
Z0673,Lucía,Iglesias,lucia.iglesias@example.com,2024-10-29,Monthly,build muscle,"Lives outside Madrid, in the city every second week for work.",1 0 1 0 1 0 1 0 1 0 1 0
Z0860,Antonio,Sanz,antonio.sanz@example.com,2025-11-06,Annual,rehab after injury,,3 4 3 4 4 2 1 2 2 1 0 0
Z0875,Antonio,Moreno,antonio.moreno@example.com,2024-12-23,Off-peak mornings,build muscle,,3 0 0 0 0 0 0 0 0 0 0 0
Z0834,Elena,Gómez,elena.gomez@example.com,2024-02-05,Monthly,lose weight,,3 3 3 2 4 4 2 3 3 0 0 0
Z0845,Mateo,Pérez,mateo.perez@example.com,2025-02-26,Annual,strength as I get older,,3 2 5 3 4 4 3 4 4 0 0 0
Z0804,Sara,Delgado,sara.delgado@example.com,2026-03-18,Student,build muscle,,2 3 1 2 4 2 4 4 1 0 0 0
Z0778,Alejandro,Carrasco,alejandro.carrasco@example.com,2025-06-18,Student,general fitness,"Holidays 3 weeks in August, froze nothing, said not to worry.",3 3 3 3 3 1 3 3 2 0 0 0
Z0441,Manuel,Marín,manuel.marin@example.com,2025-02-13,Monthly,stress and sleep,,1 0 2 2 2 2 3 3 3 1 2 1
Z0016,Pablo,Martínez,pablo.martinez@example.com,2024-01-17,Monthly,strength as I get older,,4 3 4 5 3 4 4 3 4 3 6 4
