member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0877,Pilar,Pérez,pilar.perez@example.com,2025-09-13,Monthly,general fitness,,2 3 1 0 0 0 0 0 0 0 0 0
Z0835,Alejandro,Gómez,alejandro.gomez@example.com,2024-09-24,Monthly,stress and sleep,,4 4 4 3 3 4 3 2 3 0 0 0
Z0022,Lucía,Herrera,lucia.herrera@example.com,2025-12-18,Student,build muscle,Does the Thursday spin class.,4 4 2 3 2 3 3 4 3 3 4 3
Z0494,Miguel,Moreno,miguel.moreno@example.com,2025-03-14,Monthly,lose weight,,3 2 2 2 3 2 2 3 2 0 3 1
Z0802,Sara,Ramírez,sara.ramirez@example.com,2025-01-14,Annual,strength as I get older,,1 4 4 3 2 2 4 2 3 0 0 0
Z0864,Carlos,Díaz,carlos.diaz@example.com,2024-06-16,Annual,build muscle,,3 3 4 4 4 3 4 2 2 1 0 0
Z0839,Sara,Lozano,sara.lozano@example.com,2024-03-09,Annual,build muscle,,3 4 4 2 4 4 3 4 2 0 0 0
Z0757,Miguel,Gómez,miguel.gomez@example.com,2025-04-14,Monthly,get fit for a ski week in January,"Holidays 3 weeks in August, froze nothing, said not to worry.",4 3 3 3 4 4 2 4 0 0 0 3
Z0725,Paula,Herrera,paula.herrera@example.com,2026-08-21,Monthly,build muscle,Moved to Chamberí in August.,0 0 0 0 0 0 0 0 0 0 2 2
Z0664,Cristina,Prieto,cristina.prieto@example.com,2024-08-09,Off-peak mornings,general fitness,"Comes every other week, that is her pattern.",0 1 0 1 0 1 0 1 0 1 0 1
