member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0347,Cristina,Herrera,cristina.herrera@example.com,2024-10-10,Monthly,rehab after injury,Tuesday and Thursday evenings.,2 1 0 2 4 2 1 3 2 1 2 2
Z0801,Pilar,Fernández,pilar.fernandez@example.com,2025-08-26,Off-peak mornings,lose weight,,3 2 2 2 3 3 3 3 4 0 0 0
Z0762,Mario,Molina,mario.molina@example.com,2025-03-08,Annual,lose weight,"Away in August, back in September.",2 2 3 5 2 4 4 3 4 0 0 0
Z0679,Andrea,Fuentes,andrea.fuentes@example.com,2025-10-14,Annual,rehab after injury,,1 0 1 0 1 0 1 0 1 0 1 0
Z0308,Diego,Carrasco,diego.carrasco@example.com,2024-12-21,Off-peak mornings,get fit for a wedding in November,Asked about personal training in June.,4 4 3 4 4 5 4 3 2 4 4 4
Z0821,Sofía,Fernández,sofia.fernandez@example.com,2024-07-24,Off-peak mornings,stress and sleep,,4 4 3 2 4 4 3 4 2 0 0 0
Z0822,Rubén,Díaz,ruben.diaz@example.com,2024-07-07,Student,general fitness,,3 4 3 3 4 3 4 3 3 0 0 0
Z0737,David,Romero,david.romero@example.com,2026-08-10,Monthly,strength as I get older,First gym membership.,0 0 0 0 0 0 0 0 0 1 2 1
Z0859,Diego,Díaz,diego.diaz@example.com,2026-05-08,Student,strength as I get older,,3 2 3 4 3 4 3 2 2 1 0 0
Z0873,Carlos,Álvarez,carlos.alvarez@example.com,2026-04-29,Annual,stress and sleep,,2 3 3 0 0 0 0 0 0 0 0 0
