member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0385,Claudia,Ortega,claudia.ortega@example.com,2024-02-26,Annual,build muscle,Tuesday and Thursday evenings.,1 2 2 2 1 1 3 1 2 3 2 1
Z0810,Iván,Torres,ivan.torres@example.com,2025-08-08,Student,lose weight,,3 2 2 1 2 3 4 3 3 0 0 0
Z0865,Cristina,Lozano,cristina.lozano@example.com,2026-01-31,Annual,lose weight,,4 4 4 4 4 2 2 2 2 1 0 0
Z0824,Hugo,Cano,hugo.cano@example.com,2026-04-25,Annual,lose weight,,4 5 3 5 5 3 2 3 0 0 0 0
Z0665,Andrea,Medina,andrea.medina@example.com,2025-05-17,Monthly,rehab after injury,,1 0 1 0 1 0 1 0 1 0 1 0
Z0745,Carmen,Moreno,carmen.moreno@example.com,2026-08-12,Student,get fit for the Madrid half marathon in October,First gym membership.,0 0 0 0 0 0 0 0 0 1 2 1
Z0878,Irene,Carrasco,irene.carrasco@example.com,2025-12-05,Annual,lose weight,,1 0 2 0 0 0 0 0 0 0 0 0
Z0826,Lucía,Fernández,lucia.fernandez@example.com,2025-04-14,Monthly,rehab after injury,Mentioned work was getting busy.,1 3 2 3 5 3 2 4 4 0 0 0
Z0785,Paula,Rodríguez,paula.rodriguez@example.com,2026-04-21,Annual,general fitness,In Galicia with family for August.,3 3 4 4 4 2 4 3 0 0 0 2
Z0230,Elena,Medina,elena.medina@example.com,2026-01-30,Annual,stress and sleep,Asked about personal training in June.,2 3 1 4 5 2 3 4 4 3 3 4
