member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0253,Lucía,Álvarez,lucia.alvarez@example.com,2026-02-06,Monthly,get fit for the Behobia race in November,,4 3 4 4 3 4 4 3 3 2 5 4
Z0823,Laura,Ortega,laura.ortega@example.com,2026-04-18,Student,stress and sleep,,3 4 4 3 4 2 3 4 5 0 0 0
Z0846,Pablo,García,pablo.garcia@example.com,2025-02-03,Annual,build muscle,,3 4 3 3 3 1 4 2 2 1 0 0
Z0649,Marta,Sanz,marta.sanz@example.com,2025-09-17,Monthly,build muscle,"Comes every other week, that is her pattern.",1 0 1 0 1 0 1 0 1 0 1 0
Z0833,Manuel,Vega,manuel.vega@example.com,2024-01-13,Annual,lose weight,Mentioned work was getting busy.,5 5 4 4 3 2 3 2 4 0 0 0
Z0504,Pablo,Lozano,pablo.lozano@example.com,2026-03-09,Annual,build muscle,Tuesday and Thursday evenings.,3 1 1 2 2 3 2 3 2 3 3 3
Z0884,Rubén,Blanco,ruben.blanco@example.com,2024-03-03,Student,general fitness,Never replied to the June newsletter.,2 2 1 0 0 0 0 0 0 0 0 0
Z0768,Iván,Ortiz,ivan.ortiz@example.com,2024-09-12,Annual,build muscle,Travelling for work most of August.,3 2 3 3 3 2 4 3 4 0 0 0
Z0803,Leo,Caballero,leo.caballero@example.com,2024-04-02,Annual,get fit for a wedding in November,,3 4 3 4 1 3 3 2 3 0 0 0
Z0708,Jorge,Rodríguez,jorge.rodriguez@example.com,2026-08-20,Monthly,lose weight,Did the induction on day one.,0 0 0 0 0 0 0 0 0 0 2 2
