member_id,first_name,last_name,email,joined,plan,goal,notes,visits_wk1_to_12
Z0739,Irene,Flores,irene.flores@example.com,2026-08-30,Annual,lose weight,Moved to Chamberí in August.,0 0 0 0 0 0 0 0 0 0 0 1
Z0422,Álvaro,Rubio,alvaro.rubio@example.com,2024-10-18,Annual,strength as I get older,"Came with a friend, both joined.",1 1 1 1 2 3 1 2 2 3 0 1
Z0040,Irene,Molina,irene.molina@example.com,2025-06-20,Off-peak mornings,general fitness,,4 3 3 4 4 4 4 4 4 4 3 2
Z0888,Hugo,Cruz,hugo.cruz@example.com,2025-03-16,Annual,stress and sleep,,2 0 0 0 0 0 0 0 0 0 0 0
Z0851,Alejandro,Serrano,alejandro.serrano@example.com,2026-02-14,Student,lose weight,,4 3 3 3 3 3 3 2 2 1 0 0
Z0692,Martín,Pérez,martin.perez@example.com,2025-04-23,Monthly,strength as I get older,,0 1 0 1 0 1 0 1 0 1 0 1
Z0813,Mateo,López,mateo.lopez@example.com,2024-09-08,Student,general fitness,,3 4 4 3 2 2 3 3 0 0 0 0
Z0808,Hugo,Rodríguez,hugo.rodriguez@example.com,2025-05-19,Monthly,stress and sleep,,3 2 3 3 3 3 3 1 2 0 0 0
Z0816,Mateo,Peña,mateo.pena@example.com,2024-07-23,Monthly,strength as I get older,,3 4 4 3 2 4 3 5 0 0 0 0
Z0770,Claudia,Cruz,claudia.cruz@example.com,2023-12-26,Monthly,build muscle,In Galicia with family for August.,3 3 3 3 2 3 3 3 3 0 0 0
